"RecordIdentity","Happened","EventDate","Activity","ActivityRaw","ActivityCategory","Workload","Application","User","UserType","ItemName","FilePath","FullUrl","FileExtension","DeviceName","Platform","SensitivityLabel","OldSensitivityLabel","SensitivityLabelPolicyId","LabelEventType","IsLabelDowngrade","HowApplied","Justification","IsProtected","IsProtectedBefore","ProtectionEventType","ProtectionType","ProtectionOwner","RMSEncrypted","RetentionLabel","OldRetentionLabel","SensitiveInfoTypeName","SensitiveInfoTypeCount","SensitiveInfoTypeConfidence","PolicyId","PolicyName","PolicyMode","RuleId","RuleName","RuleActions","EnforcementMode","FalsePositive","DlpPolicyMatchId"
"ae-00066","2026-08-09T17:08:51Z","2026-08-09","DLPRuleMatch","DLPRuleMatch","Dlp","OneDrive","","marlowe.delacroix@example.com","Member","Pricing Model.xlsx","","","","","","","","","","False","","Approved by manager for external audit","","","","","","","","","U.S. Social Security Number (SSN)","3","91","0014e327-80ff-0596-952f-70299af5e6cf","Global DLP","","707d3e00-9d8e-57a9-e1f5-ced1c7ecaef6","Notify on SSN","BlockAccess;NotifyUser","Enable","False","cb5c59ce-aba5-a00d-75cc-f087154e7f03"
"ae-00115","2026-08-09T21:42:44Z","2026-08-09","CopilotInteraction","CopilotInteraction","Ai","Teams","Microsoft 365 Copilot","kai.quintero2@example.com","Member","","","","","","","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00014","2026-08-09T23:38:49Z","2026-08-09","LabelApplied","LabelApplied","Labeling","SharePoint","","reese.takahashi@example.com","Member","Pricing Model.xlsx","/sites/team/Pricing Model.xlsx","https://example.sharepoint.com/sites/team/Pricing Model.xlsx","xlsx","","Web","4a702759-637a-b5af-97e9-f3b3d78fa6bd","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00102","2026-08-10T02:06:55Z","2026-08-10","ClassificationAdded","ClassificationAdded","Retention","OneDrive","","indigo.petrov@example.com","Member","Pricing Model.xlsx","","","","","","","","","","False","","","","","","","","","Delete after 90 days","","","0",,"","","","","","","","",""
"ae-00003","2026-08-10T03:57:37Z","2026-08-10","LabelApplied","LabelApplied","Labeling","OneDrive","","drew.okonkwo@example.com","Member","Contract Draft.docx","/sites/team/Contract Draft.docx","https://example.sharepoint.com/sites/team/Contract Draft.docx","docx","","Web","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00044","2026-08-10T06:09:00Z","2026-08-10","LabelChanged","LabelChanged","Labeling","SharePoint","","oakley.okonkwo@example.com","Member","Pricing Model.xlsx","","","","","","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","","LabelDowngraded","True","Manual","No longer contains restricted data","","","","","","","","","","0",,"","","","","","","","",""
"ae-00098","2026-08-10T08:57:41Z","2026-08-10","ClassificationAdded","ClassificationAdded","Retention","OneDrive","","emery.fontaine@example.com","Member","Statement of Work.docx","","","","","","","","","","False","","","","","","","","","Permanent Record","","","0",,"","","","","","","","",""
"ae-00047","2026-08-10T10:57:52Z","2026-08-10","LabelChanged","LabelChanged","Labeling","SharePoint","","blair.nakamura@example.com","Member","Customer List.xlsx","","","","","","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","","LabelDowngraded","True","Manual","No longer contains restricted data","","","","","","","","","","0",,"","","","","","","","",""
"ae-00054","2026-08-10T16:02:42Z","2026-08-10","NewProtection","NewProtection","Protection","Exchange","","blair.kowalski@example.com","Member","Pricing Model.xlsx","","","","","","","","","","False","","","","","","Rms","blair.kowalski@example.com","True","","","","0",,"","","","","","","","",""
"ae-00031","2026-08-11T01:38:27Z","2026-08-11","LabelApplied","LabelApplied","Labeling","SharePoint","","blair.takahashi@example.com","Member","Contract Draft.docx","/sites/team/Contract Draft.docx","https://example.sharepoint.com/sites/team/Contract Draft.docx","docx","","Web","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
"ae-00029","2026-08-11T03:44:51Z","2026-08-11","LabelApplied","LabelApplied","Labeling","Exchange","","quinn.quintero@example.com","Member","Pricing Model.xlsx","/sites/team/Pricing Model.xlsx","https://example.sharepoint.com/sites/team/Pricing Model.xlsx","xlsx","","Web","2e285a4a-6045-6ffe-d3c8-3fdf369ff82f","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00076","2026-08-11T03:50:35Z","2026-08-11","DLPRuleMatch","DLPRuleMatch","Dlp","Exchange","","blair.kowalski@example.com","Member","Customer List.xlsx","","","","","","","","","","False","","Approved by manager for external audit","","","","","","","","","Credit Card Number","3","73","0014e327-80ff-0596-952f-70299af5e6cf","Global DLP","","b1a91a78-dc39-2ee6-46e7-35190dc92369","Block credit card numbers","BlockAccess;NotifyUser","Enable","False","43698472-cc46-3b3b-d5b6-17b9118da0e8"
"ae-00035","2026-08-11T09:14:35Z","2026-08-11","LabelApplied","LabelApplied","Labeling","SharePoint","","logan.bergstrom@example.com","Member","Pricing Model.xlsx","/sites/team/Pricing Model.xlsx","https://example.sharepoint.com/sites/team/Pricing Model.xlsx","xlsx","","Web","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00064","2026-08-11T16:41:09Z","2026-08-11","NewProtection","NewProtection","Protection","Exchange","","finley.moreau@example.com","Member","Contract Draft.docx","","","","","","","","","","False","","","","","","Rms","finley.moreau@example.com","True","","","","0",,"","","","","","","","",""
"ae-00128","2026-08-11T20:53:52Z","2026-08-11","FileCopiedToRemovableMedia","FileCopiedToRemovableMedia","Endpoint","Endpoint","","drew.chaudhry@example.com","Member","Architecture Review.pptx","","","","DESKTOP-47732","Windows","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00112","2026-08-11T21:33:10Z","2026-08-11","CopilotInteraction","CopilotInteraction","Ai","Teams","Microsoft 365 Copilot","quinn.petrov@example.com","Member","","","","","","","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00009","2026-08-12T00:39:59Z","2026-08-12","LabelApplied","LabelApplied","Labeling","OneDrive","","avery.delacroix@example.com","Member","Statement of Work.docx","/sites/team/Statement of Work.docx","https://example.sharepoint.com/sites/team/Statement of Work.docx","docx","","Web","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
"ae-00073","2026-08-12T06:31:32Z","2026-08-12","DLPRuleMatch","DLPRuleMatch","Dlp","SharePoint","","blair.gallagher@example.com","Member","Customer List.xlsx","","","","","","","","","","False","","","","","","","","","","","U.S. Social Security Number (SSN)","1","81","189fed24-28ac-c608-3c17-2aa64ff3a767","Teams DLP","","21f23e39-6465-59a7-8534-691dcae364f2","Notify on SSN in chat","BlockAccess;NotifyUser","Enable","False","6cabebc2-7d59-d328-91c2-1e066c1cdb12"
"ae-00111","2026-08-12T09:54:03Z","2026-08-12","CopilotInteraction","CopilotInteraction","Ai","Teams","Microsoft 365 Copilot","indigo.nakamura@example.com","Member","","","","","","","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00004","2026-08-12T11:17:35Z","2026-08-12","LabelApplied","LabelApplied","Labeling","Exchange","","noor.quintero@example.com","Member","Statement of Work.docx","/sites/team/Statement of Work.docx","https://example.sharepoint.com/sites/team/Statement of Work.docx","docx","","Web","3d209d36-8590-d697-ad0d-c52f2701fb6d","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
"ae-00025","2026-08-12T14:30:40Z","2026-08-12","LabelApplied","LabelApplied","Labeling","OneDrive","","reese.lindqvist@example.com","Member","Pricing Model.xlsx","/sites/team/Pricing Model.xlsx","https://example.sharepoint.com/sites/team/Pricing Model.xlsx","xlsx","","Web","3d209d36-8590-d697-ad0d-c52f2701fb6d","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
"ae-00027","2026-08-12T22:27:00Z","2026-08-12","LabelApplied","LabelApplied","Labeling","Exchange","","drew.chaudhry@example.com","Member","Customer List.xlsx","/sites/team/Customer List.xlsx","https://example.sharepoint.com/sites/team/Customer List.xlsx","xlsx","","Web","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00100","2026-08-12T23:51:00Z","2026-08-12","ClassificationAdded","ClassificationAdded","Retention","SharePoint","","avery.eriksen@example.com","Member","Contract Draft.docx","","","","","","","","","","False","","","","","","","","","Permanent Record","","","0",,"","","","","","","","",""
"ae-00015","2026-08-13T00:40:25Z","2026-08-13","LabelApplied","LabelApplied","Labeling","OneDrive","","oakley.jovanovic@example.com","Member","Contract Draft.docx","/sites/team/Contract Draft.docx","https://example.sharepoint.com/sites/team/Contract Draft.docx","docx","","Web","3d209d36-8590-d697-ad0d-c52f2701fb6d","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
"ae-00117","2026-08-13T06:30:37Z","2026-08-13","FileDiscovered","FileDiscovered","Discovery","SharePoint","","avery.delacroix@example.com","Member","Architecture Review.pptx","","","","","","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00051","2026-08-13T06:45:36Z","2026-08-13","NewProtection","NewProtection","Protection","Exchange","","avery.delacroix@example.com","Member","Statement of Work.docx","","","","","","","","","","False","","","","","","Rms","avery.delacroix@example.com","True","","","","0",,"","","","","","","","",""
"ae-00078","2026-08-13T15:36:10Z","2026-08-13","DLPRuleMatch","DLPRuleMatch","Dlp","Teams","","avery.rasmussen@example.com","Member","Customer List.xlsx","","","","","","","","","","False","","","","","","","","","","","U.S. Social Security Number (SSN)","2","84","0014e327-80ff-0596-952f-70299af5e6cf","Global DLP","","707d3e00-9d8e-57a9-e1f5-ced1c7ecaef6","Notify on SSN","BlockAccess;NotifyUser","Enable","False","f91955af-a5fe-1114-abe2-1f96425cdb8b"
"ae-00074","2026-08-13T16:03:39Z","2026-08-13","DLPRuleMatch","DLPRuleMatch","Dlp","Teams","","finley.moreau@example.com","Member","Statement of Work.docx","","","","","","","","","","False","","","","","","","","","","","","3","93","0abbe980-f1e9-fe93-e9cd-53dcd96c58f2","Copilot data protection","","11a5c0f4-3676-dbd9-7152-cf430e146759","Block Copilot on Restricted label","BlockAccess;NotifyUser","Enable","False","f0aea2d8-4532-ce87-c8e8-511bd7e018a7"
"ae-00018","2026-08-13T20:57:33Z","2026-08-13","LabelApplied","LabelApplied","Labeling","Exchange","","jordan.rasmussen@example.com","Member","Architecture Review.pptx","/sites/team/Architecture Review.pptx","https://example.sharepoint.com/sites/team/Architecture Review.pptx","pptx","","Web","3d209d36-8590-d697-ad0d-c52f2701fb6d","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
"ae-00126","2026-08-13T21:43:44Z","2026-08-13","FileCopiedToRemovableMedia","FileCopiedToRemovableMedia","Endpoint","Endpoint","","reese.fontaine@example.com","Member","Pricing Model.xlsx","","","","DESKTOP-61239","Windows","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00002","2026-08-13T23:57:52Z","2026-08-13","LabelApplied","LabelApplied","Labeling","SharePoint","","indigo.nakamura@example.com","Member","Pricing Model.xlsx","/sites/team/Pricing Model.xlsx","https://example.sharepoint.com/sites/team/Pricing Model.xlsx","xlsx","","Web","4a702759-637a-b5af-97e9-f3b3d78fa6bd","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00119","2026-08-14T02:28:55Z","2026-08-14","FileDiscovered","FileDiscovered","Discovery","SharePoint","","logan.bergstrom@example.com","Member","Contract Draft.docx","","","","","","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00080","2026-08-14T08:06:06Z","2026-08-14","DLPRuleMatch","DLPRuleMatch","Dlp","Endpoint","","marlowe.ibarra@example.com","Member","Contract Draft.docx","","","","","","","","","","False","","","","","","","","","","","Credit Card Number","4","99","0014e327-80ff-0596-952f-70299af5e6cf","Global DLP","","b1a91a78-dc39-2ee6-46e7-35190dc92369","Block credit card numbers","BlockAccess;NotifyUser","Enable","False","208e567c-fc6a-b9a7-e4eb-62c7171f92ea"
"ae-00011","2026-08-14T17:27:50Z","2026-08-14","LabelApplied","LabelApplied","Labeling","SharePoint","","jordan.rasmussen@example.com","Member","Customer List.xlsx","/sites/team/Customer List.xlsx","https://example.sharepoint.com/sites/team/Customer List.xlsx","xlsx","","Web","2e285a4a-6045-6ffe-d3c8-3fdf369ff82f","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00070","2026-08-15T00:52:47Z","2026-08-15","DLPRuleMatch","DLPRuleMatch","Dlp","Endpoint","","oakley.okonkwo@example.com","Member","Pricing Model.xlsx","","","","","","","","","","False","","","","","","","","","","","Credit Card Number","2","95","0014e327-80ff-0596-952f-70299af5e6cf","Global DLP","","b1a91a78-dc39-2ee6-46e7-35190dc92369","Block credit card numbers","BlockAccess;NotifyUser","Enable","False","2ab467a6-58da-7a94-1546-97210282aa16"
"ae-00094","2026-08-15T03:01:02Z","2026-08-15","ClassificationAdded","ClassificationAdded","Retention","OneDrive","","marlowe.delacroix@example.com","Member","Contract Draft.docx","","","","","","","","","","False","","","","","","","","","7 Year Retention","","","0",,"","","","","","","","",""
"ae-00114","2026-08-15T09:18:50Z","2026-08-15","CopilotInteraction","CopilotInteraction","Ai","Teams","Microsoft 365 Copilot","finley.fontaine@example.com","Member","","","","","","","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00057","2026-08-15T13:59:05Z","2026-08-15","NewProtection","NewProtection","Protection","Exchange","","quinn.quintero@example.com","Member","Customer List.xlsx","","","","","","","","","","False","","","","","","Rms","quinn.quintero@example.com","True","","","","0",,"","","","","","","","",""
"ae-00129","2026-08-15T21:28:27Z","2026-08-15","FileCopiedToRemovableMedia","FileCopiedToRemovableMedia","Endpoint","Endpoint","","blair.kowalski@example.com","Member","Statement of Work.docx","","","","DESKTOP-94039","Windows","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00099","2026-08-16T01:57:56Z","2026-08-16","ClassificationAdded","ClassificationAdded","Retention","OneDrive","","oakley.gallagher@example.com","Member","Pricing Model.xlsx","","","","","","","","","","False","","","","","","","","","Permanent Record","","","0",,"","","","","","","","",""
"ae-00081","2026-08-16T05:32:07Z","2026-08-16","DLPRuleMatch","DLPRuleMatch","Dlp","SharePoint","","oakley.gallagher@example.com","Member","Statement of Work.docx","","","","","","","","","","False","","Approved by manager for external audit","","","","","","","","","Credit Card Number","3","73","0014e327-80ff-0596-952f-70299af5e6cf","Global DLP","","b1a91a78-dc39-2ee6-46e7-35190dc92369","Block credit card numbers","BlockAccess;NotifyUser","Enable","False","907fe4e5-dbf8-f211-ece4-77283145d179"
"ae-00091","2026-08-16T07:41:45Z","2026-08-16","ClassificationAdded","ClassificationAdded","Retention","OneDrive","","avery.delacroix@example.com","Member","Statement of Work.docx","","","","","","","","","","False","","","","","","","","","7 Year Retention","","","0",,"","","","","","","","",""
"ae-00120","2026-08-17T02:53:20Z","2026-08-17","FileDiscovered","FileDiscovered","Discovery","SharePoint","","oakley.jovanovic@example.com","Member","Customer List.xlsx","","","","","","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00069","2026-08-17T09:33:24Z","2026-08-17","DLPRuleMatch","DLPRuleMatch","Dlp","Teams","","jordan.rasmussen@example.com","Member","Architecture Review.pptx","","","","","","","","","","False","","","","","","","","","","","U.S. Social Security Number (SSN)","3","83","189fed24-28ac-c608-3c17-2aa64ff3a767","Teams DLP","","21f23e39-6465-59a7-8534-691dcae364f2","Notify on SSN in chat","BlockAccess;NotifyUser","Enable","False","a4c17cf0-c2b8-abcb-734c-f6f00a3bdfbc"
"ae-00041","2026-08-17T14:16:37Z","2026-08-17","LabelChanged","LabelChanged","Labeling","SharePoint","","jordan.rasmussen@example.com","Member","Customer List.xlsx","","","","","","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","","LabelDowngraded","True","Manual","No longer contains restricted data","","","","","","","","","","0",,"","","","","","","","",""
"ae-00005","2026-08-17T15:45:00Z","2026-08-17","LabelApplied","LabelApplied","Labeling","OneDrive","","blair.gallagher@example.com","Member","Pricing Model.xlsx","/sites/team/Pricing Model.xlsx","https://example.sharepoint.com/sites/team/Pricing Model.xlsx","xlsx","","Web","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00061","2026-08-17T16:25:46Z","2026-08-17","NewProtection","NewProtection","Protection","Exchange","","jordan.eriksen@example.com","Member","Architecture Review.pptx","","","","","","","","","","False","","","","","","Rms","jordan.eriksen@example.com","True","","","","0",,"","","","","","","","",""
"ae-00127","2026-08-17T17:17:38Z","2026-08-17","FileCopiedToRemovableMedia","FileCopiedToRemovableMedia","Endpoint","Endpoint","","tatum.abara@example.com","Member","Pricing Model.xlsx","","","","DESKTOP-76434","Windows","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00030","2026-08-17T19:09:24Z","2026-08-17","LabelApplied","LabelApplied","Labeling","Exchange","","parker.bergstrom@example.com","Member","Pricing Model.xlsx","/sites/team/Pricing Model.xlsx","https://example.sharepoint.com/sites/team/Pricing Model.xlsx","xlsx","","Web","9886dcbf-aabd-d9c4-265f-ef3ab241a870","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
"ae-00052","2026-08-18T03:44:59Z","2026-08-18","NewProtection","NewProtection","Protection","Exchange","","reese.rasmussen@example.com","Member","Architecture Review.pptx","","","","","","","","","","False","","","","","","Rms","reese.rasmussen@example.com","True","","","","0",,"","","","","","","","",""
"ae-00085","2026-08-18T08:05:24Z","2026-08-18","DLPRuleMatch","DLPRuleMatch","Dlp","OneDrive","","avery.eriksen@example.com","Member","Statement of Work.docx","","","","","","","","","","False","","","","","","","","","","","U.S. / U.K. Passport Number","1","65","0014e327-80ff-0596-952f-70299af5e6cf","Global DLP","","06dd5b3c-9c46-ef80-1289-4e70d7753af3","Block passport numbers","BlockAccess;NotifyUser","Enable","False","ddc9d300-c03c-c52b-aa10-048eac251b16"
"ae-00008","2026-08-18T11:21:03Z","2026-08-18","LabelApplied","LabelApplied","Labeling","OneDrive","","jordan.bergstrom@example.com","Member","Contract Draft.docx","/sites/team/Contract Draft.docx","https://example.sharepoint.com/sites/team/Contract Draft.docx","docx","","Web","83adde07-8456-5e59-de16-c4f56be4a287","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00082","2026-08-18T13:13:21Z","2026-08-18","DLPRuleMatch","DLPRuleMatch","Dlp","OneDrive","","drew.silva@example.com","Member","Statement of Work.docx","","","","","","","","","","False","","","","","","","","","","","U.S. Social Security Number (SSN)","2","93","189fed24-28ac-c608-3c17-2aa64ff3a767","Teams DLP","","21f23e39-6465-59a7-8534-691dcae364f2","Notify on SSN in chat","BlockAccess;NotifyUser","Enable","False","391913e3-e483-ab7b-fb38-3b867c16c008"
"ae-00084","2026-08-19T09:17:28Z","2026-08-19","DLPRuleMatch","DLPRuleMatch","Dlp","Teams","","indigo.lindqvist@example.com","Member","Pricing Model.xlsx","","","","","","","","","","False","","","","","","","","","","","U.S. / U.K. Passport Number","1","65","0014e327-80ff-0596-952f-70299af5e6cf","Global DLP","","06dd5b3c-9c46-ef80-1289-4e70d7753af3","Block passport numbers","BlockAccess;NotifyUser","Enable","False","606a1cb4-4d77-7af6-59e2-28dbb5c200e5"
"ae-00026","2026-08-19T17:38:21Z","2026-08-19","LabelApplied","LabelApplied","Labeling","Exchange","","indigo.lindqvist@example.com","Member","Architecture Review.pptx","/sites/team/Architecture Review.pptx","https://example.sharepoint.com/sites/team/Architecture Review.pptx","pptx","","Web","2e285a4a-6045-6ffe-d3c8-3fdf369ff82f","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00079","2026-08-19T23:38:48Z","2026-08-19","DLPRuleMatch","DLPRuleMatch","Dlp","Teams","","quinn.quintero@example.com","Member","Customer List.xlsx","","","","","","","","","","False","","","","","","","","","","","","4","92","0abbe980-f1e9-fe93-e9cd-53dcd96c58f2","Copilot data protection","","11a5c0f4-3676-dbd9-7152-cf430e146759","Block Copilot on Restricted label","BlockAccess;NotifyUser","Enable","False","f48e3697-c07f-3c66-75dc-2e0a30331a97"
"ae-00097","2026-08-19T23:39:59Z","2026-08-19","ClassificationAdded","ClassificationAdded","Retention","SharePoint","","avery.rasmussen@example.com","Member","Customer List.xlsx","","","","","","","","","","False","","","","","","","","","Permanent Record","","","0",,"","","","","","","","",""
"ae-00116","2026-08-20T04:30:07Z","2026-08-20","FileDiscovered","FileDiscovered","Discovery","SharePoint","","drew.okonkwo@example.com","Member","Architecture Review.pptx","","","","","","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00089","2026-08-20T17:10:03Z","2026-08-20","DLPRuleMatch","DLPRuleMatch","Dlp","SharePoint","","marlowe.delacroix@example.com","Member","Customer List.xlsx","","","","","","","","","","False","","","","","","","","","","","U.S. Social Security Number (SSN)","1","94","189fed24-28ac-c608-3c17-2aa64ff3a767","Teams DLP","","21f23e39-6465-59a7-8534-691dcae364f2","Notify on SSN in chat","BlockAccess;NotifyUser","Enable","False","924be6c6-f5ba-13c9-7ae0-405e3d0409d4"
"ae-00062","2026-08-20T18:20:57Z","2026-08-20","NewProtection","NewProtection","Protection","Exchange","","avery.rasmussen@example.com","Member","Statement of Work.docx","","","","","","","","","","False","","","","","","Rms","avery.rasmussen@example.com","True","","","","0",,"","","","","","","","",""
"ae-00103","2026-08-21T07:41:51Z","2026-08-21","ClassificationAdded","ClassificationAdded","Retention","OneDrive","","avery.eriksen@example.com","Member","Architecture Review.pptx","","","","","","","","","","False","","","","","","","","","Delete after 90 days","","","0",,"","","","","","","","",""
"ae-00037","2026-08-21T08:30:41Z","2026-08-21","LabelApplied","LabelApplied","Labeling","OneDrive","","finley.petrov@example.com","Member","Pricing Model.xlsx","/sites/team/Pricing Model.xlsx","https://example.sharepoint.com/sites/team/Pricing Model.xlsx","xlsx","","Web","9886dcbf-aabd-d9c4-265f-ef3ab241a870","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
"ae-00059","2026-08-21T10:23:26Z","2026-08-21","NewProtection","NewProtection","Protection","Exchange","","finley.moreau@example.com","Member","Contract Draft.docx","","","","","","","","","","False","","","","","","Rms","finley.moreau@example.com","True","","","","0",,"","","","","","","","",""
"ae-00063","2026-08-21T11:28:15Z","2026-08-21","NewProtection","NewProtection","Protection","Exchange","","blair.takahashi@example.com","Member","Statement of Work.docx","","","","","","","","","","False","","","","","","Rms","blair.takahashi@example.com","True","","","","0",,"","","","","","","","",""
"ae-00121","2026-08-21T12:42:19Z","2026-08-21","FileCopiedToRemovableMedia","FileCopiedToRemovableMedia","Endpoint","Endpoint","","indigo.petrov@example.com","Member","Pricing Model.xlsx","","","","DESKTOP-99974","Windows","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
