"RecordId","CreationTime","EventDate","Operation","RecordType","Workload","UserId","UserKey","UserType","AppHost","AppIdentity","AgentId","AgentName","ThreadId","ResourceId","ResourceName","ResourceType","ResourceAction","SiteUrl","ListItemUniqueId","SensitivityLabelId","Status","AccessBlocked","XpiaDetected","PolicyId","PolicyName","PolicyRules"
"copilot-00038","2026-08-11T19:44:23Z","2026-08-11","CopilotInteraction","CopilotInteraction","Teams","0e7cba76-f2c5-990a-dae8-d56f662ffbc6","finley.fontaine@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","bf175d38-fe2b-9336-2d46-6b1afcb3ae60","c41eb1d6-a635-a533-b905-217ec138d2d2","Statement of Work.docx","Message","Read","https://example.sharepoint.com/sites/team","d66cb5c0-c719-2995-cef0-5cb75834aae5","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","success","False","False","","",""
"copilot-00038","2026-08-11T19:44:23Z","2026-08-11","CopilotInteraction","CopilotInteraction","Outlook","0e7cba76-f2c5-990a-dae8-d56f662ffbc6","finley.fontaine@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","bf175d38-fe2b-9336-2d46-6b1afcb3ae60","862c6074-a166-c866-9060-878d65f87df1","Architecture Review.pptx","ListItem","Read","https://example.sharepoint.com/sites/team","b40a3212-bfab-4cb0-d9d1-9ec1702bd50d","4a702759-637a-b5af-97e9-f3b3d78fa6bd","success","False","False","","",""
"copilot-00037","2026-08-12T08:09:45Z","2026-08-12","CopilotInteraction","CopilotInteraction","Outlook","54417c87-f819-5aca-b463-7c013fc02def","harper.ibarra@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","a3823171-73ca-d3bc-ae49-f3075f97a0c8","9f5f10b3-7d18-941d-341a-003197b87b30","Statement of Work.docx","Message","Read","https://example.sharepoint.com/sites/team","5ed1a5d3-eb08-ec3e-f6b7-f3cd5270d010","2e285a4a-6045-6ffe-d3c8-3fdf369ff82f","success","False","False","","",""
"copilot-00037","2026-08-12T08:09:45Z","2026-08-12","CopilotInteraction","CopilotInteraction","Word","54417c87-f819-5aca-b463-7c013fc02def","harper.ibarra@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","a3823171-73ca-d3bc-ae49-f3075f97a0c8","21bd25da-0422-f6b1-9e3e-7a2ff3d6c7df","Architecture Review.pptx","Message","Read","https://example.sharepoint.com/sites/team","35da51d2-5f54-3719-c5c5-ffe64aaddd82","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","success","False","False","","",""
"copilot-00025","2026-08-13T10:03:31Z","2026-08-13","CopilotInteraction","CopilotInteraction","Teams","8695fc51-7f57-73c9-c005-5ed5d4b09587","kai.takahashi@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","bbf02d49-8d42-648a-7b37-2cc3786293c6","652c4b9a-abff-9874-174e-3c71cada03fe","Contract Draft.docx","Message","Read","https://example.sharepoint.com/sites/team","14b19063-0881-876d-baf4-501bb93b919b","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","success","False","False","","",""
"copilot-00025","2026-08-13T10:03:31Z","2026-08-13","CopilotInteraction","CopilotInteraction","Teams","8695fc51-7f57-73c9-c005-5ed5d4b09587","kai.takahashi@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","bbf02d49-8d42-648a-7b37-2cc3786293c6","0ff1c71d-f5cd-1673-3fc5-61e87464f205","Customer List.xlsx","File","Read","https://example.sharepoint.com/sites/team","23ca86a4-78f8-80f1-48fb-9401e02fcf97","4a702759-637a-b5af-97e9-f3b3d78fa6bd","success","False","False","","",""
"copilot-00010","2026-08-14T15:33:35Z","2026-08-14","CopilotInteraction","CopilotInteraction","Outlook","b2163983-bbf1-a9a8-64d6-d041d988fdfa","oakley.fontaine@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","c4f2e579-2a04-37c3-052a-9d75d48b587e","4256e8b4-1594-a8ab-de51-e492f9fe2560","Architecture Review.pptx","File","Read","https://example.sharepoint.com/sites/team","aff4bcb1-adba-13ff-d03d-594524d4cdde","3d209d36-8590-d697-ad0d-c52f2701fb6d","success","False","False","","",""
"copilot-00010","2026-08-14T15:33:35Z","2026-08-14","CopilotInteraction","CopilotInteraction","Word","b2163983-bbf1-a9a8-64d6-d041d988fdfa","oakley.fontaine@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","c4f2e579-2a04-37c3-052a-9d75d48b587e","ae5da223-8259-e6e5-2197-a476af2bebf9","Statement of Work.docx","File","Read","https://example.sharepoint.com/sites/team","a92e0554-8042-6d45-4e99-2d0fc41a7d15","4a702759-637a-b5af-97e9-f3b3d78fa6bd","success","False","False","","",""
"copilot-00000","2026-08-14T16:31:49Z","2026-08-14","CopilotInteraction","CopilotInteraction","Teams","74df3d0a-acf0-dabb-8fca-2934333ba39f","blair.kowalski@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","fde3a84d-6f67-3e22-e1ab-28833d11efd8","b3001e81-3022-0dc2-7263-0bc8d1976e8c","Pricing Model.xlsx","Message","Read","https://example.sharepoint.com/sites/team","e978ca0c-c40e-ca9d-a4d5-d4d2b0fab166","83adde07-8456-5e59-de16-c4f56be4a287","success","False","False","","",""
"copilot-00017","2026-08-14T18:40:23Z","2026-08-14","CopilotInteraction","CopilotInteraction","SharePointOnline","3a4ef796-9a7e-b1eb-fe97-ee7b5a408165","avery.rasmussen@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","e24ce232-9987-1a47-fe76-14b18cb52063","263f9014-72df-9b5d-51f7-5221c7e969dd","Customer List.xlsx","Message","Read","https://example.sharepoint.com/sites/team","020563b5-b5b0-0fc8-a712-90125f83ab9d","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","success","False","False","","",""
"copilot-00017","2026-08-14T18:40:23Z","2026-08-14","CopilotInteraction","CopilotInteraction","Word","3a4ef796-9a7e-b1eb-fe97-ee7b5a408165","avery.rasmussen@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","e24ce232-9987-1a47-fe76-14b18cb52063","511dbe16-bc0d-27a8-e97e-ad7ec190c4cb","Contract Draft.docx","ListItem","Read","https://example.sharepoint.com/sites/team","b2abcefa-1ab8-58a0-f399-7fd6ed9a1f3e","4a702759-637a-b5af-97e9-f3b3d78fa6bd","success","False","False","","",""
"copilot-00008","2026-08-15T06:06:20Z","2026-08-15","CopilotInteraction","CopilotInteraction","SharePointOnline","13049b5d-9987-f801-3a80-c5ab6ccbe7a0","blair.gallagher@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","8b2c44a1-91a5-51d2-c793-78ade458cb02","8329a64d-da3f-95fa-5fb5-4bc2d7c38c56","Pricing Model.xlsx","ListItem","Read","https://example.sharepoint.com/sites/team","a35cf293-96b0-d783-b21e-8cf26fef054a","3d209d36-8590-d697-ad0d-c52f2701fb6d","success","False","False","","",""
"copilot-00008","2026-08-15T06:06:20Z","2026-08-15","CopilotInteraction","CopilotInteraction","Outlook","13049b5d-9987-f801-3a80-c5ab6ccbe7a0","blair.gallagher@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","8b2c44a1-91a5-51d2-c793-78ade458cb02","9e5374c1-0702-b666-d7bc-68dd2dea0c94","Contract Draft.docx","Message","Read","https://example.sharepoint.com/sites/team","ce38ce90-b018-6bee-848f-03b830756d3d","83adde07-8456-5e59-de16-c4f56be4a287","success","False","False","","",""
"copilot-00039","2026-08-16T00:15:43Z","2026-08-16","CopilotInteraction","CopilotInteraction","Teams","2e19abff-be79-7c68-ffa0-b49841b1f723","logan.silva@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","1a780dd4-47f6-52b7-dd89-9d58b20f031d","d80b2f56-4942-ac02-edd3-db98f6deb529","Customer List.xlsx","ListItem","Read","https://example.sharepoint.com/sites/team","10d1df52-4c42-5244-0304-49308d469e44","83adde07-8456-5e59-de16-c4f56be4a287","success","False","False","","",""
"copilot-00021","2026-08-16T12:53:49Z","2026-08-16","CopilotInteraction","CopilotInteraction","Word","6348e0fb-da40-6590-8ee7-5f6000634176","kai.fontaine@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","9b168a77-05a4-a2ad-ce15-40a54a3e5d36","8f4ff7f8-041c-6478-d6b4-6647d19d9c16","Architecture Review.pptx","Message","Read","https://example.sharepoint.com/sites/team","7660c7b3-794d-63c8-e635-0633715ff1cd","2e285a4a-6045-6ffe-d3c8-3fdf369ff82f","success","False","False","","",""
"copilot-00021","2026-08-16T12:53:49Z","2026-08-16","CopilotInteraction","CopilotInteraction","Word","6348e0fb-da40-6590-8ee7-5f6000634176","kai.fontaine@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","9b168a77-05a4-a2ad-ce15-40a54a3e5d36","96fafa27-a02b-eed6-68ce-6f07ae284a76","Pricing Model.xlsx","ListItem","Read","https://example.sharepoint.com/sites/team","d6aa81e9-b9c7-431e-5da3-43065503f718","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","success","False","False","","",""
"copilot-00011","2026-08-17T21:22:39Z","2026-08-17","CopilotInteraction","CopilotInteraction","Word","e557498c-94cf-a666-93b1-5092e4d9e631","kai.quintero2@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","d4c97263-678c-596f-8e2d-592a6a4b8a7b","33eb69dc-b84c-d311-89f9-99ee21d1671e","Contract Draft.docx","File","Read","https://example.sharepoint.com/sites/team","11da1c59-deec-3f21-02a4-79900134c26a","3d209d36-8590-d697-ad0d-c52f2701fb6d","success","False","False","","",""
"copilot-00019","2026-08-18T09:24:14Z","2026-08-18","CopilotInteraction","CopilotInteraction","SharePointOnline","54417c87-f819-5aca-b463-7c013fc02def","harper.ibarra@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","3e0a4acb-cf98-2a76-3243-972f137c0ee8","a5113df6-7b81-fa42-297b-a545bc761f6d","Contract Draft.docx","Message","Read","https://example.sharepoint.com/sites/team","5b36108a-64a7-782a-6709-0c7339d8d8da","4a702759-637a-b5af-97e9-f3b3d78fa6bd","success","False","False","","",""
"copilot-00036","2026-08-18T11:26:17Z","2026-08-18","CopilotInteraction","CopilotInteraction","Outlook","57561377-894e-b02b-2418-97215f9d3cc4","oakley.gallagher@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","b53d2aac-74d0-00a1-e123-5ad118be03e8","4dccfc97-84cc-d14e-d68d-2450ab8724b6","Contract Draft.docx","Message","Read","https://example.sharepoint.com/sites/team","1c761a57-f14e-0e27-632b-cd2497861230","3d209d36-8590-d697-ad0d-c52f2701fb6d","success","False","False","","",""
"copilot-00029","2026-08-18T14:31:15Z","2026-08-18","CopilotInteraction","CopilotInteraction","SharePointOnline","2d1032ef-6d25-251a-aa84-6c979e32be60","quinn.petrov@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","0ff9bb7f-429f-7fa0-26fd-4c51a6a18fe8",,,,,,,,,,,,,
"copilot-00018","2026-08-19T15:26:58Z","2026-08-19","CopilotInteraction","CopilotInteraction","Outlook","6348e0fb-da40-6590-8ee7-5f6000634176","kai.fontaine@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","1c5438ef-a9c9-d105-d196-6d0f971c8981",,,,,,,,,,,,,
"copilot-00013","2026-08-20T18:34:00Z","2026-08-20","CopilotInteraction","CopilotInteraction","Outlook","4ada376a-ecf6-cde8-b965-f829b48b9f31","gray.silva@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","86ce5a23-6cd7-e3c6-4162-aba6e02a48fc","d732db2c-ae4d-83c9-498e-317125335ece","Contract Draft.docx","File","Read","https://example.sharepoint.com/sites/team","475e3480-f52d-1a56-2b28-86f37ae67f52","2e285a4a-6045-6ffe-d3c8-3fdf369ff82f","success","False","False","","",""
"copilot-00026","2026-08-21T00:10:30Z","2026-08-21","CopilotInteraction","CopilotInteraction","SharePointOnline","56b830c1-eba7-a79a-66af-41fbd440deee","noor.quintero@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","6aa1bcc2-a7c9-d125-7fec-29b451e4f684",,,,,,,,,,,,,
"copilot-00009","2026-08-21T18:37:08Z","2026-08-21","CopilotInteraction","CopilotInteraction","SharePointOnline","bb1608e0-ce2f-089c-4344-a546432aedce","drew.okonkwo@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","82d45d8f-3851-c120-b740-2cd9c9beaaf2","db276800-6c09-5b46-bd8d-7cf4d49f2035","Statement of Work.docx","Message","Read","https://example.sharepoint.com/sites/team","c1767751-721f-b2f2-29b1-4512e49da2f0","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","failure","True","False","0abbe980-f1e9-fe93-e9cd-53dcd96c58f2","Copilot data protection","Block Copilot on Restricted label"
"copilot-00022","2026-08-22T08:32:45Z","2026-08-22","CopilotInteraction","CopilotInteraction","SharePointOnline","1228e9ec-0543-bede-1349-9a4934de4f80","oakley.nakamura@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","5e9fbf9b-f910-def4-87de-e8fa38a3e424",,,,,,,,,,,,,
"copilot-00005","2026-08-23T03:34:07Z","2026-08-23","CopilotInteraction","CopilotInteraction","Teams","d01fa0f0-8491-6aec-ff4e-305b600a5d77","finley.haddad@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","d377666b-37fa-7a4b-4fe6-0b2ee963e119","c045d30a-3aa1-94a0-638e-6ef49e5e3e08","Contract Draft.docx","ListItem","Read","https://example.sharepoint.com/sites/team","363082d6-39c5-02e3-318a-27fe7ba975fb","4a702759-637a-b5af-97e9-f3b3d78fa6bd","success","False","False","","",""
"copilot-00028","2026-08-23T10:23:57Z","2026-08-23","CopilotInteraction","CopilotInteraction","Teams","6eeb9fdf-ba96-d64c-2ec8-f7c9ec3a3d85","logan.eriksen@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","fcafe0d1-4b38-e6f5-0957-35740f29e98a",,,,,,,,,,,,,
"copilot-00002","2026-08-23T12:55:05Z","2026-08-23","CopilotInteraction","CopilotInteraction","Outlook","1228e9ec-0543-bede-1349-9a4934de4f80","oakley.nakamura@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","c5261129-edcc-cb11-461d-970e4c2460dc",,,,,,,,,,,,,
"copilot-00034","2026-08-24T02:17:12Z","2026-08-24","CopilotInteraction","CopilotInteraction","SharePointOnline","604163d3-f977-5808-071a-354742c40793","reese.nakamura@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","f3b0da03-4122-3f0f-a3a1-da9411aa7015","18807861-b0a0-f6a8-4dcd-343f09f50326","Statement of Work.docx","Message","Read","https://example.sharepoint.com/sites/team","90aeccba-7b01-bb4c-5b5c-57b4987caeac","4a702759-637a-b5af-97e9-f3b3d78fa6bd","success","False","False","","",""
"copilot-00031","2026-08-24T03:43:51Z","2026-08-24","CopilotInteraction","CopilotInteraction","Teams","92006a42-4aed-0138-f6f9-0f762bcfeb28","drew.silva@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","4783be27-dafb-e9f9-bacb-00a25a8236e4","079e6039-f660-c628-8473-7bf531331cac","Customer List.xlsx","File","Read","https://example.sharepoint.com/sites/team","4a15613f-2435-0281-63de-5c50e3ec4385","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","success","False","False","","",""
"copilot-00031","2026-08-24T03:43:51Z","2026-08-24","CopilotInteraction","CopilotInteraction","Word","92006a42-4aed-0138-f6f9-0f762bcfeb28","drew.silva@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","4783be27-dafb-e9f9-bacb-00a25a8236e4","5dee94c7-40e4-e49b-d023-355785ac284e","Pricing Model.xlsx","File","Read","https://example.sharepoint.com/sites/team","66b2d32e-a47f-c028-be98-81f2c6e57498","9886dcbf-aabd-d9c4-265f-ef3ab241a870","success","False","False","","",""
"copilot-00030","2026-08-24T10:56:13Z","2026-08-24","CopilotInteraction","CopilotInteraction","SharePointOnline","54417c87-f819-5aca-b463-7c013fc02def","harper.ibarra@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","bbd87660-cf76-5f8d-685e-f3c160f30329",,,,,,,,,,,,,
"copilot-00014","2026-08-26T01:11:52Z","2026-08-26","CopilotInteraction","CopilotInteraction","Outlook","ad2d8e48-f353-55be-4e54-a7f578388b33","avery.eriksen@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","e90ed781-547c-f00f-8573-815c7f9be923","a1833280-56fd-4b13-f1d3-54fadd45e0a9","Statement of Work.docx","File","Read","https://example.sharepoint.com/sites/team","66e5d8cb-b795-2aa6-74df-fc5c6dfab7b3","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","success","False","False","","",""
"copilot-00012","2026-08-26T02:36:38Z","2026-08-26","CopilotInteraction","CopilotInteraction","Word","bb1608e0-ce2f-089c-4344-a546432aedce","drew.okonkwo@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","947a1b7d-60e5-3ff5-3858-032ca83f885d","ec3a0d65-8f68-8013-d135-8505804aba3e","Statement of Work.docx","ListItem","Read","https://example.sharepoint.com/sites/team","0c062f22-0dca-3610-b8c5-d108b13b764f","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","failure","True","False","0abbe980-f1e9-fe93-e9cd-53dcd96c58f2","Copilot data protection","Block Copilot on Restricted label"
"copilot-00012","2026-08-26T02:36:38Z","2026-08-26","CopilotInteraction","CopilotInteraction","Teams","bb1608e0-ce2f-089c-4344-a546432aedce","drew.okonkwo@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","947a1b7d-60e5-3ff5-3858-032ca83f885d","b60d120c-5a6c-f7f9-652b-b787cda6a3bf","Contract Draft.docx","ListItem","Read","https://example.sharepoint.com/sites/team","e98b2c46-06e2-a1a9-4ce8-c1ac65e57f1c","9886dcbf-aabd-d9c4-265f-ef3ab241a870","success","False","False","","",""
"copilot-00007","2026-08-28T06:31:40Z","2026-08-28","CopilotInteraction","CopilotInteraction","SharePointOnline","de031ad0-95b9-8d92-e914-46b747114494","indigo.lindqvist@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","d7833544-731b-a0c9-6978-81e431735b84",,,,,,,,,,,,,
"copilot-00020","2026-08-28T17:46:30Z","2026-08-28","CopilotInteraction","CopilotInteraction","Word","2e19abff-be79-7c68-ffa0-b49841b1f723","logan.silva@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","d455c389-ae4d-fd8d-dab9-f40e04d6aff6","14087bad-ed39-41b5-cc6d-e10f8cb36488","Customer List.xlsx","Message","Read","https://example.sharepoint.com/sites/team","d6f80e61-9d2c-15ae-fd6e-6328e161cbfb","9886dcbf-aabd-d9c4-265f-ef3ab241a870","success","False","False","","",""
