"CreatedDateTime","Id","UserId","UserPrincipalName","AppDisplayName","ResourceDisplayName","IpAddress","City","CountryOrRegion","ClientAppUsed","IsInteractive","ErrorCode","ConditionalAccessStatus"
"2026-01-22T18:32:46Z","9e64b00b-fb4a-e634-d91c-858c66ed097f","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Office 365 SharePoint Online","203.0.113.126","Sydney","AU","Mobile Apps and Desktop clients","True","0","success"
"2026-01-22T19:48:27Z","fd34e106-889d-2bca-5b01-3e2c0b742179","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Microsoft Teams Services","203.0.113.87","Sydney","AU","Browser","False","0","success"
"2026-01-23T11:36:10Z","766d5e3d-bb47-9b1f-2903-1fde09a95153","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Microsoft Teams Services","203.0.113.197","Toronto","CA","Browser","False","0","success"
"2026-01-23T12:41:36Z","ce98c3e5-2aa7-1d26-3cbf-b89d9a5de70f","7fd125a7-29ec-51b4-e4f6-84a2facf791e","harper.rasmussen_partner3.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Windows Azure Active Directory","203.0.113.200","Austin","US","Mobile Apps and Desktop clients","False","0","success"
"2026-01-23T13:23:43Z","bdaca9b0-a38a-9c85-f088-0cf9f52034c3","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Windows Azure Active Directory","203.0.113.236","Toronto","CA","Browser","True","0","success"
"2026-01-23T13:37:14Z","9b43ccc3-7b61-6a3b-9864-3b7f06601068","9145356f-c0fc-c57a-28f4-c70beb10e1f5","kai.ibarra_partner2.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Windows Azure Active Directory","203.0.113.137","Austin","US","Browser","True","0","success"
"2026-01-23T16:11:52Z","d8876306-40f5-cc2b-4c07-f3d46fb0c409","9145356f-c0fc-c57a-28f4-c70beb10e1f5","kai.ibarra_partner2.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Office 365 SharePoint Online","203.0.113.18","Austin","US","Mobile Apps and Desktop clients","False","0","notApplied"
"2026-01-24T12:22:34Z","03c7f313-4224-6060-0ec4-0c8e88fbba10","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Microsoft Graph","203.0.113.42","Sydney","AU","Browser","True","0","success"
"2026-01-24T12:40:10Z","8b4dd11a-c409-8193-0151-bb820f19f292","4e84cc4d-d6d1-248d-50ab-8724b6a35057","blair.jovanovic_partner10.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Office 365 SharePoint Online","203.0.113.238","Seattle","US","Browser","False","0","success"
"2026-01-24T13:24:03Z","a208fc70-f6cb-63b3-ddcb-ace01f801eae","4e84cc4d-d6d1-248d-50ab-8724b6a35057","blair.jovanovic_partner10.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Office 365 SharePoint Online","203.0.113.10","Seattle","US","Browser","True","0","notApplied"
"2026-01-24T17:25:03Z","6cea2032-c132-3faa-9ec4-728efe733c47","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Office 365 SharePoint Online","203.0.113.230","Sydney","AU","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-01-26T14:07:40Z","cc3b714c-6ca0-dc48-0788-34fbf0bf515f","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Office 365 SharePoint Online","203.0.113.231","Toronto","CA","Mobile Apps and Desktop clients","True","0","success"
"2026-01-26T17:50:48Z","85796e14-1670-737b-9c7f-613d0ba8b5ab","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Microsoft Teams Services","203.0.113.197","Toronto","CA","Browser","False","0","success"
"2026-01-27T07:35:55Z","175018a5-2337-a7c4-ade2-dade444c49ec","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Office 365 SharePoint Online","203.0.113.210","Sydney","AU","Browser","False","0","success"
"2026-01-27T08:25:47Z","d7a02b96-1f7d-0fd6-05e1-b2b978d1934d","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Office 365 SharePoint Online","203.0.113.169","Toronto","CA","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-01-27T15:00:33Z","f1b8925f-e4d0-859b-d8e9-072c1551134d","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Microsoft Teams Services","203.0.113.22","Toronto","CA","Mobile Apps and Desktop clients","True","0","success"
"2026-01-27T17:45:56Z","9c523e3c-e5ef-ba39-0380-025eeccc55ff","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Office 365 SharePoint Online","203.0.113.187","Toronto","CA","Browser","True","0","notApplied"
"2026-01-28T13:56:24Z","2504c2c7-a7ae-8286-fa1e-7e226e8ab8bb","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Windows Azure Active Directory","203.0.113.110","Sydney","AU","Browser","False","53003","failure"
"2026-01-28T18:23:31Z","a6428f5b-8fe4-086d-5908-d3c747f90548","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Graph","203.0.113.159","Toronto","CA","Mobile Apps and Desktop clients","True","0","success"
"2026-01-29T07:42:30Z","84f64b5a-4d97-ffae-7642-65c5832e2b56","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Microsoft Teams Services","203.0.113.128","Sydney","AU","Browser","True","0","notApplied"
"2026-01-29T14:03:08Z","450e0ad1-6d08-6559-f3a7-257c8e3f7914","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Microsoft Teams Services","203.0.113.26","Sydney","AU","Browser","True","0","notApplied"
"2026-01-29T14:45:23Z","bb28c7f5-d8dd-bac9-4ed6-193a76362bb1","4e84cc4d-d6d1-248d-50ab-8724b6a35057","blair.jovanovic_partner10.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Graph","203.0.113.171","Seattle","US","Browser","False","0","success"
"2026-01-30T12:10:38Z","8e6366cd-5311-e3ac-0df9-10349ed99377","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Windows Azure Active Directory","203.0.113.142","Sydney","AU","Browser","True","53003","failure"
"2026-01-30T12:38:05Z","079a356f-9227-2388-757b-a6f2b4803f45","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Windows Azure Active Directory","203.0.113.74","Toronto","CA","Browser","False","53003","failure"
"2026-01-30T13:46:16Z","17e3b78c-12e3-9d7b-c8c9-18dc35273551","7fd125a7-29ec-51b4-e4f6-84a2facf791e","harper.rasmussen_partner3.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Office 365 SharePoint Online","203.0.113.81","Austin","US","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-01-30T15:06:16Z","1d16f162-557e-b9c1-5669-eb3e22548fa6","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Microsoft Teams Services","203.0.113.150","Sydney","AU","Browser","True","0","notApplied"
"2026-01-30T17:19:42Z","97c4de18-4faa-3c1e-706b-72411d98fa1c","db5625e8-f6c3-fff4-398a-df5cb54e80dd","umi.xiong_partner12.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Teams Services","203.0.113.52","Sydney","AU","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-01-31T07:13:41Z","765d7754-fd04-faae-5084-af6f9876f0b2","9145356f-c0fc-c57a-28f4-c70beb10e1f5","kai.ibarra_partner2.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Graph","203.0.113.159","Austin","US","Browser","False","0","notApplied"
"2026-01-31T07:35:35Z","6476f8c4-c6f4-255c-82cd-45adf56fc015","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Windows Azure Active Directory","203.0.113.125","Sydney","AU","Mobile Apps and Desktop clients","False","0","notApplied"
"2026-01-31T12:17:59Z","709665dc-6ab2-c4a9-ca52-05abdc6602d9","9145356f-c0fc-c57a-28f4-c70beb10e1f5","kai.ibarra_partner2.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Windows Azure Active Directory","203.0.113.246","Austin","US","Browser","True","0","success"
"2026-02-01T08:27:31Z","7c8ac3e8-ec7e-a91b-ee3a-a57cf171f19f","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Microsoft Teams Services","203.0.113.163","Sydney","AU","Browser","True","0","notApplied"
"2026-02-01T10:43:27Z","d9ba708d-50c6-3510-11f0-d0c147c1f7fe","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Windows Azure Active Directory","203.0.113.167","Sydney","AU","Mobile Apps and Desktop clients","True","0","success"
"2026-02-01T10:52:08Z","dc2878a2-96a4-4707-63ae-66ba64cec1ec","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Microsoft Graph","203.0.113.96","Toronto","CA","Browser","True","0","success"
"2026-02-01T14:36:27Z","15d6e558-58ca-7690-9725-8aaa9ed860a3","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Office 365 SharePoint Online","203.0.113.138","Sydney","AU","Browser","True","0","success"
"2026-02-02T09:55:53Z","4f52bea6-5006-7eed-7ee5-55d80cf021b1","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Windows Azure Active Directory","203.0.113.91","Sydney","AU","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-02-02T11:17:08Z","9feb8d71-a185-857a-737a-f82e50e4526e","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Windows Azure Active Directory","203.0.113.194","Sydney","AU","Browser","True","0","success"
"2026-02-02T11:33:00Z","dad4faab-1bbe-172b-dbab-36aff3ef1433","e5072603-ccba-90ae-017b-4cbb5b5c57b4","blair.kowalski_partner6.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Microsoft Teams Services","203.0.113.95","Seattle","US","Mobile Apps and Desktop clients","True","0","success"
"2026-02-02T13:37:33Z","985f94c3-5c24-6f94-fff6-d033de9a61f5","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Office 365 SharePoint Online","203.0.113.182","Toronto","CA","Browser","True","0","notApplied"
"2026-02-02T16:06:42Z","1634b520-31d7-b12c-f6c7-1cceb94a3be6","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Office 365 SharePoint Online","203.0.113.41","Sydney","AU","Browser","False","0","notApplied"
"2026-02-03T18:33:30Z","7c7da7c8-2708-d58e-7e51-c580d63b7c27","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Microsoft Graph","203.0.113.41","Sydney","AU","Browser","True","0","success"
"2026-02-04T11:21:48Z","f577fa29-cc77-e7e9-520e-cd3cb0731cc4","db5625e8-f6c3-fff4-398a-df5cb54e80dd","umi.xiong_partner12.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Office 365 SharePoint Online","203.0.113.68","Sydney","AU","Browser","True","53003","failure"
"2026-02-04T11:37:48Z","c48c6a3d-3714-973b-e2fe-2b7fe196e5dc","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Windows Azure Active Directory","203.0.113.36","Sydney","AU","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-02-04T11:52:02Z","e6d0a092-3208-abdd-563e-ed3ddc7831b2","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Windows Azure Active Directory","203.0.113.61","Toronto","CA","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-02-05T14:02:09Z","3e03ef88-f499-53ef-fc87-ac25e2257201","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Office 365 SharePoint Online","203.0.113.88","Sydney","AU","Mobile Apps and Desktop clients","True","53003","failure"
"2026-02-05T15:08:20Z","f7dcbeb2-433d-4a1f-2b64-6f53907b87ac","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Windows Azure Active Directory","203.0.113.135","Sydney","AU","Browser","True","0","notApplied"
"2026-02-06T11:15:13Z","5326d9f3-2c6d-ae33-2ad9-0059a9d825e5","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Teams Services","203.0.113.36","Toronto","CA","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-02-06T13:47:47Z","9df77b7b-8d0d-e126-8116-c536b28322a3","e5072603-ccba-90ae-017b-4cbb5b5c57b4","blair.kowalski_partner6.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Windows Azure Active Directory","203.0.113.225","Seattle","US","Browser","False","53003","failure"
"2026-02-06T14:25:32Z","40fcc84b-52f2-ebde-6196-c7af34f961d0","9145356f-c0fc-c57a-28f4-c70beb10e1f5","kai.ibarra_partner2.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Windows Azure Active Directory","203.0.113.13","Austin","US","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-02-06T16:28:06Z","31df1658-4394-37b8-b09b-e30e2922cc0e","e5072603-ccba-90ae-017b-4cbb5b5c57b4","blair.kowalski_partner6.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Office 365 SharePoint Online","203.0.113.88","Seattle","US","Mobile Apps and Desktop clients","True","0","success"
"2026-02-07T10:50:47Z","9f9246d3-4555-5c08-6e7c-4f99a83d6a6b","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Microsoft Graph","203.0.113.188","Sydney","AU","Mobile Apps and Desktop clients","False","0","success"
"2026-02-07T15:26:06Z","efc469db-f8c0-3f57-667a-300cca08b031","5c23838b-802a-b9de-9b16-0741096d923b","drew.eriksen_partner12.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Office 365 SharePoint Online","203.0.113.42","Dublin","IE","Browser","False","0","success"
"2026-02-07T17:06:53Z","b465fd50-4d3c-a87f-d96b-69924ff652de","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Microsoft Teams Services","203.0.113.12","Toronto","CA","Mobile Apps and Desktop clients","False","0","notApplied"
"2026-02-08T07:41:21Z","a08cff2f-b0f6-2391-69c1-e7f3346fc023","9145356f-c0fc-c57a-28f4-c70beb10e1f5","kai.ibarra_partner2.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Microsoft Graph","203.0.113.117","Austin","US","Mobile Apps and Desktop clients","True","53003","failure"
"2026-02-08T09:26:17Z","9e97c9de-bf14-8294-c6a0-d29c1196e5d9","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Office 365 SharePoint Online","203.0.113.100","Sydney","AU","Browser","True","0","success"
"2026-02-08T10:37:00Z","f83588c6-dba2-870a-0eab-4572f9231e7b","fd7aa7f1-51e6-4de0-21c6-46ecbf93f045","jordan.abara_partner9.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Microsoft Teams Services","203.0.113.138","Sydney","AU","Browser","True","0","success"
"2026-02-09T15:41:54Z","186f0c11-3e90-b3e0-76e4-426b3bd6a8cc","fd7aa7f1-51e6-4de0-21c6-46ecbf93f045","jordan.abara_partner9.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Windows Azure Active Directory","203.0.113.214","Sydney","AU","Mobile Apps and Desktop clients","True","53003","failure"
"2026-02-09T15:53:20Z","4b34fe88-1533-b45b-0f7a-f56e5552d30c","fd7aa7f1-51e6-4de0-21c6-46ecbf93f045","jordan.abara_partner9.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Office 365 SharePoint Online","203.0.113.87","Sydney","AU","Browser","True","0","notApplied"
"2026-02-09T18:17:17Z","7e9e4a93-26ea-02da-baa9-c8ce512133c9","db5625e8-f6c3-fff4-398a-df5cb54e80dd","umi.xiong_partner12.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Windows Azure Active Directory","203.0.113.2","Sydney","AU","Browser","False","0","notApplied"
"2026-02-10T13:35:34Z","d77b13ae-3092-6d7a-002d-7e7c44b8a961","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Microsoft Teams Services","203.0.113.111","Sydney","AU","Browser","True","0","notApplied"
"2026-02-10T16:28:27Z","23f3a5fb-7517-2a68-52c9-8254ca106bc8","9145356f-c0fc-c57a-28f4-c70beb10e1f5","kai.ibarra_partner2.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Windows Azure Active Directory","203.0.113.101","Austin","US","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-02-10T19:54:36Z","90fb5681-6c41-34e8-1001-4f81827e7bd3","e5072603-ccba-90ae-017b-4cbb5b5c57b4","blair.kowalski_partner6.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Windows Azure Active Directory","203.0.113.222","Seattle","US","Mobile Apps and Desktop clients","True","0","success"
"2026-02-11T15:39:03Z","0e56791b-d005-dbd6-07db-2cdc80496e2f","fd7aa7f1-51e6-4de0-21c6-46ecbf93f045","jordan.abara_partner9.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Windows Azure Active Directory","203.0.113.127","Sydney","AU","Mobile Apps and Desktop clients","False","0","notApplied"
"2026-02-11T18:35:42Z","9e8c5dbe-4b9a-8d8d-6208-106afc0c0bb4","db5625e8-f6c3-fff4-398a-df5cb54e80dd","umi.xiong_partner12.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Office 365 SharePoint Online","203.0.113.199","Sydney","AU","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-02-11T18:47:16Z","b1b908a5-9425-12a2-eb11-ffbaed7aff32","fd7aa7f1-51e6-4de0-21c6-46ecbf93f045","jordan.abara_partner9.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Teams Services","203.0.113.79","Sydney","AU","Mobile Apps and Desktop clients","False","0","notApplied"
"2026-02-11T19:04:31Z","62c2e9d1-aeb1-b598-e0e3-0860db29019c","5c23838b-802a-b9de-9b16-0741096d923b","drew.eriksen_partner12.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Microsoft Graph","203.0.113.67","Dublin","IE","Mobile Apps and Desktop clients","False","0","success"
"2026-02-11T19:43:29Z","e2906f2e-f2de-f40c-da0d-1a712a528b95","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Teams Services","203.0.113.84","Toronto","CA","Mobile Apps and Desktop clients","False","0","success"
"2026-02-12T13:03:34Z","4882cde0-528a-0a75-8f87-64d658353619","4e84cc4d-d6d1-248d-50ab-8724b6a35057","blair.jovanovic_partner10.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Teams Services","203.0.113.226","Seattle","US","Browser","True","0","notApplied"
"2026-02-13T07:06:16Z","d49a9a2b-ca09-16e5-5bfd-ca5ce8ea2c09","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Microsoft Teams Services","203.0.113.183","Sydney","AU","Mobile Apps and Desktop clients","True","0","success"
"2026-02-13T11:50:36Z","7c8702d3-4614-4990-a8f7-20d48041026a","5c23838b-802a-b9de-9b16-0741096d923b","drew.eriksen_partner12.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Microsoft Teams Services","203.0.113.82","Dublin","IE","Browser","True","0","success"
"2026-02-13T15:50:24Z","be9d544e-c619-ce82-f22b-c972ab55661c","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Teams Services","203.0.113.241","Toronto","CA","Browser","False","53003","failure"
"2026-02-13T15:51:12Z","70654114-429a-1bd5-464a-8bbaeda99775","4e84cc4d-d6d1-248d-50ab-8724b6a35057","blair.jovanovic_partner10.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Microsoft Graph","203.0.113.165","Seattle","US","Mobile Apps and Desktop clients","True","0","success"
"2026-02-13T18:10:17Z","7e04c8ab-87d9-6cbc-c9f7-9699cf1dd2aa","fd7aa7f1-51e6-4de0-21c6-46ecbf93f045","jordan.abara_partner9.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Graph","203.0.113.253","Sydney","AU","Browser","True","0","notApplied"
"2026-02-14T09:07:58Z","39163bb8-908b-e683-ac8e-5c7b0681bab4","db5625e8-f6c3-fff4-398a-df5cb54e80dd","umi.xiong_partner12.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Microsoft Teams Services","203.0.113.33","Sydney","AU","Browser","True","0","notApplied"
"2026-02-14T11:13:04Z","59b9626f-d95b-6c06-14cc-7f546b6c583c","5c23838b-802a-b9de-9b16-0741096d923b","drew.eriksen_partner12.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Microsoft Graph","203.0.113.172","Dublin","IE","Browser","True","53003","failure"
"2026-02-14T11:41:37Z","c786c4bf-49cb-6079-a819-5e0eead66579","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Microsoft Teams Services","203.0.113.82","Sydney","AU","Mobile Apps and Desktop clients","True","0","notApplied"
"2026-02-14T15:34:07Z","9cf6fda4-ea9f-2ba7-f64f-31826b295c49","db5625e8-f6c3-fff4-398a-df5cb54e80dd","umi.xiong_partner12.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Office 365 SharePoint Online","203.0.113.247","Sydney","AU","Mobile Apps and Desktop clients","True","0","success"
